fsq_id,latitude,longitude,category_group
552,40.749325,-73.955829,bars_&_clubs
553,40.75817,-73.78608,restaurants
554,40.773354,-73.906461,restaurants
555,40.73977,-73.878566,restaurants
556,40.747746,-73.94223,restaurants
557,40.745992,-73.914824,restaurants
558,40.763412,-73.921247,restaurants
559,40.742713,-73.951891,restaurants
560,40.761655,-73.918298,bars_&_clubs
561,40.743284,-73.951754,retail_&_shopping
562,40.743832,-73.951425,restaurants
563,40.759069,-73.833327,restaurants
564,40.713992,-73.921474,bars_&_clubs
565,40.747997,-73.957088,entertainment_&_leisure
566,40.773516,-73.916692,restaurants
567,40.745666,-73.953461,restaurants
568,40.745821,-73.89879,retail_&_shopping
569,40.74833,-73.940592,restaurants
570,40.762194,-73.918318,restaurants
571,40.747029,-73.952946,entertainment_&_leisure
572,40.741218,-73.960408,restaurants
573,40.757993,-73.932269,restaurants
574,40.769136,-73.935314,restaurants
575,40.744738,-73.951853,restaurants
576,40.7053,-73.739474,restaurants
577,40.746218,-73.955011,retail_&_shopping
578,40.74614,-73.945837,restaurants
579,40.748883,-73.938037,restaurants
580,40.762385,-73.925359,restaurants
581,40.765825,-73.919766,restaurants
582,40.774115,-73.908281,restaurants
583,40.768702,-73.79204,restaurants
584,40.748654,-73.938552,Other
585,40.75993,-73.928411,restaurants
586,40.749052,-73.756112,restaurants
587,40.734737,-73.870915,restaurants
588,40.744909,-73.953519,bars_&_clubs
589,40.749756,-73.817795,restaurants
590,40.767452,-73.937784,Other
591,40.744011,-73.776373,restaurants
592,40.757422,-73.793339,restaurants
593,40.768039,-73.862047,restaurants
594,40.736869,-73.880162,restaurants
595,40.712015,-73.859128,restaurants
596,40.757726,-73.915878,restaurants
597,40.6439,-73.791462,entertainment_&_leisure
598,40.673922,-73.72895,restaurants
599,40.665267,-73.756119,restaurants
600,40.74262,-73.954392,restaurants
601,40.757897,-73.779781,restaurants
602,40.772436,-73.865223,restaurants
603,40.761278,-73.761205,restaurants
604,40.738303,-73.883097,restaurants
605,40.760585,-73.92612,restaurants
606,40.727453,-73.812462,restaurants
607,40.761537,-73.759466,restaurants
608,40.7535,-73.90838,restaurants
609,40.730232,-73.919207,restaurants
610,40.726735,-73.716591,Other
611,40.6431762874933,-73.77900838851929,restaurants
612,40.766392,-73.930972,restaurants
613,40.748346,-73.95007,bars_&_clubs
614,40.744459,-73.954201,restaurants
615,40.767079,-73.736331,restaurants
616,40.726301,-73.906705,restaurants
617,40.739454,-73.884449,bars_&_clubs
618,40.715747,-73.914252,bars_&_clubs
619,40.739536,-73.942614,bars_&_clubs
620,40.698755,-73.819252,bars_&_clubs
621,40.69875,-73.819427,bars_&_clubs
622,40.696128,-73.803892,bars_&_clubs
623,40.753766,-73.904416,bars_&_clubs
624,40.777442,-73.900802,bars_&_clubs
625,40.744616,-73.911759,bars_&_clubs
626,40.754376,-73.83329,bars_&_clubs
627,40.689864,-73.82539,bars_&_clubs
628,40.695103,-73.841761,bars_&_clubs
629,40.699152,-73.820575,bars_&_clubs
630,40.696073,-73.803934,bars_&_clubs
631,40.70654,-73.807881,bars_&_clubs
632,40.715965,-73.860668,entertainment_&_leisure
633,40.761567,-73.923668,bars_&_clubs
634,40.708999,-73.778997,bars_&_clubs
635,40.709896,-73.771218,restaurants
636,40.715485,-73.901717,bars_&_clubs
637,40.733308,-73.884309,bars_&_clubs
638,40.749587,-73.857879,bars_&_clubs
639,40.74879,-73.869859,bars_&_clubs
640,40.754383,-73.86015,bars_&_clubs
641,40.744619,-73.903462,bars_&_clubs
642,40.756127,-73.882271,bars_&_clubs
643,40.745163,-73.90536,bars_&_clubs
644,40.760787,-73.87327,bars_&_clubs
645,40.765936,-73.836938,bars_&_clubs
646,40.754266,-73.899761,bars_&_clubs
647,40.763843,-73.878145,bars_&_clubs
648,40.742101,-73.925289,bars_&_clubs
649,40.753153,-73.923524,bars_&_clubs
650,40.752935,-73.923603,bars_&_clubs
651,40.759713,-73.914205,bars_&_clubs
652,40.755968,-73.92114,bars_&_clubs
653,40.781054,-73.840804,bars_&_clubs
654,40.754163,-73.930201,bars_&_clubs
655,40.754166,-73.930114,bars_&_clubs
656,40.579338,-73.837371,bars_&_clubs
657,40.756611,-73.929464,bars_&_clubs
658,40.767662,-73.911534,bars_&_clubs
