id,name,latitude,longitude,category,address,borough,price,rating,hours,popularity,website,phone
412d2800f964a520df0c1fe3,Central Park,40.78272,-73.965614,Urban Park,"1, 4,  , E,  , 6, 0, t, h,  , S, t,  , (, b, t, w, n,  , 5, t, h,  , A, v, e,  , &,  , C, e, n, t, r, a, l,  , P, a, r, k,  , W, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 2",Manhattan,,,,,,
4a229fa8f964a520797d1fe3,Jacqueline Kennedy Onassis Reservoir,40.785516,-73.962646,Lake,"C, e, n, t, r, a, l,  , P, a, r, k,  , (, b, t, w, n,  , 8, 5, t, h,  , &,  , 9, 6, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 4",Manhattan,,,,,,
4c30f3c166e40f477d4fc48b,Metropolitan Museum of Art Store,40.779202,-73.96262,Art Gallery,"1, 0, 0, 0,  , 5, t, h,  , A, v, e,  , (, a, t,  , E,  , 8, 2, n, d,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 8",Manhattan,,,,,,
4bce27f0c564ef3be7c5edf0,The Obelisk,40.779663,-73.965522,Monument,"E, a, s, t,  , D, r,  , (, a, t,  , 8, 1, s, t,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 8",Manhattan,,,,,,
4a50f0a7f964a52047b01fe3,Belvedere Castle,40.779356,-73.968919,Landmarks and Outdoors,"7, 9, T, H,  , S, t, ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 4",Manhattan,,,,,,
4b006b45f964a520013e22e3,The Ramble,40.744184,-74.006379,Landmarks and Outdoors,"7, 9, t, h,  , S, t,  , T, r, a, n, s, v, e, r, s, e, ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 1, 1",Manhattan,,,,,,
4a6b8bf4f964a52018cf1fe3,Bethesda Fountain,40.774177,-73.970859,Fountain,"7, 2, N, D,  , S, t,  , (, C, e, n, t, r, a, l,  , P, a, r, k, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 1",Manhattan,,,,,,
4be709372468c9281aff0143,Bethesda Terrace,40.773959,-73.970938,Plaza,"7, 2, N, D,  , S, t,  , (, a, t,  , C, e, n, t, r, a, l,  , P, a, r, k, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 1",Manhattan,,,,,,
4a8d4689f964a520650f20e3,Engineers Gate,40.784109,-73.958745,Monument,"5, T, H,  , A, v, e,  , (, a, t,  , E,  , 9, 0, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 1, 2, 8",Manhattan,,,,,,
4b8e8bcdf964a520f52733e3,Alice in Wonderland Statue,40.774939,-73.966606,Monument,"E,  , 7, 4, T, H,  , S, t,  , (, b, t, w, n,  , E,  , 7, 5, t, h,  , &,  , 7, 6, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 1",Manhattan,,,,,,
